Vibrational ZPE	Polarizability	Dipole Moment	Adiabatic IE	Cohesive Energy	Breakdown Voltage	Molecular Mass	Number e-	Molecular Volume
7144.0	6.492	1.087	10.35	-3706.0	1.08	150.0	174.0	105.6
4516.0	6.499	1.301	11.12	-1525.0	0.99	102.9	67.0	90.6
11180.0	9.519	1.141	10.96	-5625.0	2.2	212.0	238.0	144.3
6155.0	7.828	0.8336	10.7	-3365.0	1.5	170.1	184.0	119.5
5594.0	5.167	1.472	11.13	-2558.0	1.35	115.0	107.0	84.72
12110.0	8.323	2.161	10.64	-2721.0	1.01	98.95	50.0	109.1
8430.0	7.502	1.504	10.94	-4287.0	1.7	162.0	180.0	114.9
4203.0	6.264	0.5261	9.506	-2256.0	0.69	116.5	107.0	91.68
1059.0	1.931	0.0699	14.1	-1044.0	0.4	28.01	14.0	36.97
5260.0	2.764	1.672	13.55	-3166.0	1.21	69.0	84.0	54.06
3498.0	2.836	0.0	14.39	-1915.0	0.41	88.0	110.0	59.2
9407.0	2.552	0.0	12.53	-3038.0	0.97	15.03	9.0	41.6
6169.0	6.368	1.687	10.88	-1500.0	0.6	84.93	42.0	86.7
4713.0	4.754	1.261	13.5	-2589.0	1.58	95.02	97.0	79.6
4912.0	10.33	1.012	11.61	-2664.0	2.3	187.4	141.0	142.0
9539.0	4.443	4.054	11.84	-2522.0	0.8	41.05	22.0	65.62
2111.0	0.8162	0.0	15.28	-448.3	0.22	2.016	2.0	17.12
6858.0	2.652	2.019	12.48	-1787.0	0.3	52.02	60.0	49.27
9411.0	2.552	0.0	12.53	-1730.0	0.43	16.04	10.0	41.59
5674.0	6.683	0.5877	12.23	-3005.0	1.17	154.5	159.0	108.3
7284.0	6.774	1.293	12.14	-3856.0	2.18	145.0	155.0	111.2
2353.0	2.853	0.08811	12.82	-1115.0	0.47	44.01	22.0	46.09
10970.0	4.5	2.448	12.25	-3095.0	1.62	84.04	93.0	77.17
7903.0	8.087	0.0	11.97	-4306.0	1.71	162.0	180.0	123.6
4876.0	4.604	1.49	11.89	-1687.0	0.42	86.46	76.0	72.48
5282.0	8.498	0.8695	11.3	-2831.0	1.71	170.9	150.0	125.3
5302.0	8.546	0.728	11.39	-2840.0	1.63	170.9	150.0	125.2
7807.0	5.368	1.978	10.54	-1569.0	0.44	94.94	44.0	72.03
1427.0	3.77	1.745	12.19	-984.1	1.0	64.06	32.0	56.27
6652.0	7.028	0.8869	13.08	-3064.0	1.61	196.1	230.0	114.8
1940.0	4.991	0.81	11.13	-1363.0	0.91	60.07	30.0	65.65
1185.0	1.757	0.0	15.71	-926.6	0.38	28.01	14.0	36.23
792.2	1.439	0.0	10.84	-347.7	0.33	32.0	16.0	31.95
2697.0	6.558	0.5401	11.44	-1561.0	1.01	120.9	92.0	94.54
4168.0	8.412	1.086	10.9	-1373.0	1.67	119.4	58.0	108.2
2957.0	5.66	0.5388	11.43	-1678.0	0.75	148.9	119.0	85.06
1967.0	10.41	0.0	10.95	-1225.0	2.36	153.8	74.0	128.9
9980.0	10.3	1.882	10.42	-2591.0	2.31	133.4	66.0	130.2
7940.0	4.354	1.987	11.13	-1616.0	0.31	50.48	26.0	63.92
3098.0	4.652	0.4913	12.26	-1736.0	0.53	104.5	101.0	76.99
985.4	10.41	0.7324	9.772	-913.6	0.8	137.3	66.0	119.7
4260.0	4.675	0.0	14.14	-1811.0	1.0	146.0	172.0	83.67
5572.0	6.629	1.407	12.22	-2791.0	1.55	152.1	142.0	103.0
2575.0	7.624	0.5622	10.89	-1505.0	1.52	165.4	110.0	102.7
5260.0	2.764	1.672	13.55	-1858.0	0.27	70.01	85.0	54.07
2325.0	8.487	0.4564	11.17	-1390.0	1.72	137.4	83.0	111.9
2460.0	2.501	0.0	13.69	-1584.0	0.35	44.01	22.0	44.19
5609.0	3.468	0.0	11.11	-1641.0	0.42	26.04	14.0	51.47
6065.0	4.846	0.0	12.32	-3177.0	0.78	138.0	168.0	90.93
1894.0	4.028	1.776	12.23	-1190.0	1.44	86.06	76.0	63.21
12090.0	6.171	2.574	10.85	-3677.0	0.8	96.05	99.0	93.47
257.8	4.386	0.0	11.35	-219.8	0.28	70.9	34.0	63.39
3482.0	5.509	0.0	16.81	-1722.0	1.1	193.0	190.0	90.36
8196.0	8.865	0.02552	8.804	-4246.0	1.5	162.0	180.0	120.0
9685.0	8.558	0.36	10.7	-4997.0	1.7	200.0	232.0	136.7
929.2	11.66	1.147	9.385	-776.9	0.4	135.0	66.0	121.7
