Vibrational ZPE	Polarizability	Dipole Moment	Adiabatic IE	Cohesive Energy	Molecular Mass	Number e-	Molecular Volume
496.8	1.135	0.0	15.63	-146.3	38.0	18.0	27.98
15750.0	4.366	0.0	11.33	-2929.0	30.07	18.0	64.76
5538.0	2.665	0.0	11.89	-1169.0	13.83	8.0	42.43
4148.0	3.804	0.3668	12.33	-1977.0	104.0	50.0	71.02
1423.0	2.443	1.122	12.68	-435.7	36.46	18.0	41.06
1702.0	3.924	1.396	11.58	-1424.0	87.97	42.0	63.97
1144.0	2.044	0.3288	13.0	-379.4	54.0	26.0	40.45
3678.0	3.658	1.555	13.03	-761700.0	86.09	42.0	66.91
3578.0	3.411	0.4973	11.72	-1778.0	82.0	40.0	61.55
3220.0	3.741	0.1528	13.24	-1144.0	87.0	42.0	61.22
6220.0	5.339	0.0	10.29	-5454000.0	76.66	36.0	66.21
2921.0	2.735	0.9988	12.83	-1697.0	66.01	32.0	52.01
7235.0	2.122	1.515	10.11	-1236.0	17.03	10.0	34.53
257.8	4.386	0.0	11.35	-219.8	70.9	34.0	63.39
379.4	2.583	0.9557	12.61	-244.2	54.45	26.0	45.42
6579.0	4.789	0.0	10.88	-761000.0	32.12	18.0	63.0
5042.0	4.556	0.5683	9.751	-1006.0	34.0	18.0	56.97
1561.0	2.688	0.6552	12.58	-575.8	48.0	24.0	43.72
2133.0	2.753	0.2601	12.46	-850.7	71.0	34.0	50.6
5752.0	4.302	1.508	11.72	-761200.0	50.11	26.0	63.67
10810.0	4.189	0.0	10.25	-2314.0	28.05	16.0	58.47
5742.0	5.931	0.8656	11.14	-2712.0	111.0	54.0	89.59
4957.0	4.554	0.5597	11.25	-2258.0	121.0	58.0	81.67
4173.0	6.203	1.416	10.6	-2573.0	138.0	66.0	97.09
2068.0	12.42	0.947	62090.0	-1357.0	191.8	92.0	148.1
6678.0	4.289	1.541	9.53	-2185.0	42.03	22.0	59.72
4006.0	5.518	0.373	10.25	-1519.0	60.48	30.0	73.1
8272.0	6.605	0.3868	11.55	-4163.0	166.0	80.0	111.0
2336.0	4.391	0.8659	11.95	-1289.0	108.1	52.0	70.28
3513.0	4.613	1.051	11.51	-1634.0	78.02	38.0	70.1
2552.0	4.617	1.337	11.92	-1545.0	82.46	40.0	70.14
7284.0	6.774	1.296	12.14	-3856.0	145.0	70.0	111.2
5842.0	5.579	0.5783	11.9	-3111.0	111.0	54.0	87.78
3658.0	4.39	0.2916	12.12	-1302.0	104.0	50.0	72.63
10380.0	6.253	2.351	10.63	-3692.0	114.0	56.0	97.54
3527.0	4.364	0.1088	12.78	-1300.0	81.0	40.0	64.74
2725.0	4.942	1.368	11.77	-1235.0	103.1	50.0	73.04
6532.0	5.416	1.058	12.08	-3413.0	132.0	64.0	94.1
5456.0	4.776	0.6227	12.18	-2962.0	116.0	56.0	84.21
4230.0	3.537	0.6871	10.94	-1607.0	44.03	22.0	54.49
4799.0	3.932	1.741	12.13	-1772.0	68.1	34.0	64.96
4876.0	4.604	1.49	11.89	-1687.0	86.46	42.0	72.48
6866.0	6.337	0.1343	9.772	-3447.0	149.0	72.0	106.4
6724.0	4.502	1.548	10.97	-2215.0	103.0	50.0	77.06
2967.0	4.073	1.639	10.48	-1237.0	69.98	34.0	61.15
4842.0	5.713	0.4643	11.87	-3331.0	154.1	74.0	103.2
8272.0	6.605	0.3868	11.55	-4163.0	166.0	80.0	111.0
3444.0	5.638	1.402	12.11	-1820.0	102.5	50.0	86.04
12880.0	6.564	0.7564	10.36	-2572.0	46.14	26.0	85.18
10990.0	4.5	2.446	12.25	-3095.0	84.04	42.0	77.15
7750.0	6.366	0.3913	11.08	-3702.0	171.0	82.0	111.8
2881.0	3.311	0.5891	13.07	-1180.0	65.0	32.0	53.1
21780.0	6.224	0.09699	10.63	-4134.0	44.09	26.0	87.94
2349.0	5.2	0.1582	10.29	-1439.0	82.07	40.0	72.9
8129.0	6.666	2.418	10.78	-2681.0	100.1	50.0	97.75
9670.0	4.217	1.793	11.79	-2918.0	63.84	32.0	70.77
5466.0	5.789	1.938	11.44	-2945.0	112.0	54.0	90.47
1572.0	2.476	1.755	12.74	-888.8	49.0	24.0	43.47
4712.0	4.754	1.262	13.5	-2589.0	95.02	46.0	79.6
3129.0	4.84	0.3378	12.77	-811.0	102.4	50.0	71.14
8607.0	6.823	0.1428	12.16	-4434.0	188.0	90.0	121.9
2718.0	4.037	1.061	10.64	-1195.0	61.02	30.0	58.91
17190.0	5.523	0.0002879	9.609	-3497.0	42.08	24.0	76.31
7493.0	6.552	0.4689	11.15	-3516.0	171.0	82.0	112.9
7719.0	5.131	1.319	10.54	-2332.0	41.84	22.0	69.65
5465.0	4.69	0.5323	11.31	-2828.0	116.0	56.0	81.4
2871.0	3.941	1.54	12.49	-1904.0	104.0	50.0	70.05
1441.0	6.054	1.206	10.78	-1247.0	104.4	50.0	82.99
8918.0	6.02	2.423	9.657	-2487.0	84.0	42.0	83.78
2124.0	6.35	1.04	11.7	-1973.0	165.0	76.0	96.54
8817.0	5.416	1.327	12.53	-3558.0	136.0	66.0	96.61
13690.0	6.104	1.863	9.279	-3601.0	78.06	40.0	88.33
5594.0	5.167	1.473	11.13	-2558.0	115.0	56.0	84.73
2146.0	2.699	2.212	14.39	-1236.0	45.02	22.0	46.59
19280.0	7.021	0.6254	11.47	-3746.0	41.69	24.0	95.54
7816.0	4.24	2.388	9.913	-2355.0	64.03	32.0	65.58
5047.0	5.243	0.9654	9.921	-2169.0	116.0	56.0	83.5
2239.0	5.324	0.8142	12.57	-2035.0	120.5	58.0	88.06
2957.0	5.66	0.5388	11.43	-1678.0	148.9	68.0	85.09
1811.0	4.657	0.7334	11.18	-751.7	87.45	42.0	68.47
2697.0	6.558	0.5401	11.44	-1561.0	120.9	58.0	94.56
11790.0	5.246	0.4739	9.356	-2782.0	40.06	22.0	70.15
5523.0	6.352	1.491	11.07	-1372.0	66.56	34.0	83.26
8979.0	10.03	0.0	9.324	-1696.0	145.5	68.0	111.9
7142.0	6.261	2.223	10.95	-2887.0	118.1	58.0	99.02
16840.0	6.15	0.4303	9.396	-3532.0	42.08	24.0	81.52
4354.0	4.527	0.6943	11.27	-2044.0	99.01	48.0	74.69
14270.0	4.405	2.05	11.45	-2959.0	48.06	26.0	68.66
5047.0	5.243	0.9654	9.921	-2169.0	116.0	56.0	83.5
4370.0	2.686	2.131	12.22	-1644.0	48.02	24.0	47.35
2848.0	4.506	0.681	9.77	-674.9	80.99	36.0	56.89
2434.0	6.545	0.1531	10.52	-1693.0	120.0	58.0	91.19
3941.0	5.452	0.8923	11.28	-1996.0	120.5	58.0	87.82
3572.0	4.654	0.9225	12.21	-1591.0	124.1	60.0	77.34
7754.0	4.198	0.0	9.871	-2352.0	64.03	32.0	65.53
4595.0	5.315	0.2283	9.693	-5871000.0	77.95	36.0	62.45
9637.0	5.374	2.684	11.77	-3267.0	100.1	50.0	89.1
5116.0	6.772	0.8711	11.37	-2809.0	132.5	64.0	102.1
5726.0	5.452	0.4505	11.38	-2587.0	137.0	66.0	93.19
8053.0	6.69	0.415	11.36	-4114.0	166.0	80.0	113.0
4203.0	6.264	0.5247	9.506	-2256.0	116.5	56.0	91.68
8074.0	7.127	0.4039	21450.0	-4109.0	166.0	80.0	116.2
12050.0	5.17	2.622	11.31	-3469.0	100.0	50.0	87.48
1882.0	3.47	1.39	12.87	-629.7	69.99	34.0	52.37
11630.0	6.179	0.0	9.389	-2888.0	40.06	22.0	74.66
