number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,-0.6664768576923608,2026-02-27 15:13:18.621898,2026-02-27 15:13:19.712863,0 days 00:00:01.090965,11,18,20,588,COMPLETE
1,-0.6666090795867206,2026-02-27 15:13:19.735211,2026-02-27 15:13:20.720149,0 days 00:00:00.984938,12,20,8,834,COMPLETE
2,-0.4050675718598816,2026-02-27 15:13:20.737830,2026-02-27 15:13:21.540234,0 days 00:00:00.802404,16,2,13,479,COMPLETE
3,-0.45215713383688405,2026-02-27 15:13:21.558356,2026-02-27 15:13:22.672106,0 days 00:00:01.113750,31,11,7,984,COMPLETE
4,-0.6654082111339144,2026-02-27 15:13:22.693123,2026-02-27 15:13:23.344256,0 days 00:00:00.651133,46,17,12,260,COMPLETE
5,-0.45393429094255994,2026-02-27 15:13:23.362306,2026-02-27 15:13:24.078604,0 days 00:00:00.716298,5,11,10,327,COMPLETE
6,-0.45421880745148846,2026-02-27 15:13:24.097780,2026-02-27 15:13:24.809347,0 days 00:00:00.711567,27,11,17,357,COMPLETE
7,-0.6646156791789439,2026-02-27 15:13:24.829302,2026-02-27 15:13:24.995960,0 days 00:00:00.166658,10,19,4,154,COMPLETE
8,-0.39876270867948693,2026-02-27 15:13:25.016208,2026-02-27 15:13:25.346346,0 days 00:00:00.330138,6,1,12,411,COMPLETE
9,-0.6666543281384404,2026-02-27 15:13:25.362444,2026-02-27 15:13:25.803901,0 days 00:00:00.441457,46,20,4,671,COMPLETE
10,-0.4161348400188965,2026-02-27 15:13:25.820230,2026-02-27 15:13:26.319792,0 days 00:00:00.499562,50,6,2,666,COMPLETE
11,-0.6619457802518047,2026-02-27 15:13:26.336002,2026-02-27 15:13:26.868345,0 days 00:00:00.532343,39,15,6,821,COMPLETE
12,-0.6664832691845944,2026-02-27 15:13:26.888228,2026-02-27 15:13:27.383819,0 days 00:00:00.495591,21,20,8,773,COMPLETE
13,-0.6615835677006559,2026-02-27 15:13:27.404056,2026-02-27 15:13:28.020898,0 days 00:00:00.616842,38,15,2,981,COMPLETE
14,-0.661878185961276,2026-02-27 15:13:28.038078,2026-02-27 15:13:28.588201,0 days 00:00:00.550123,23,15,5,820,COMPLETE
15,-0.41812727308680514,2026-02-27 15:13:28.604665,2026-02-27 15:13:29.100938,0 days 00:00:00.496273,35,7,9,682,COMPLETE
16,-0.666486825880747,2026-02-27 15:13:29.121197,2026-02-27 15:13:29.706202,0 days 00:00:00.585005,44,20,4,899,COMPLETE
17,-0.6663695929269312,2026-02-27 15:13:29.722812,2026-02-27 15:13:30.121279,0 days 00:00:00.398467,17,17,15,577,COMPLETE
18,-0.5378228242986687,2026-02-27 15:13:30.141429,2026-02-27 15:13:30.628722,0 days 00:00:00.487293,29,13,7,691,COMPLETE
19,-0.4268352373445243,2026-02-27 15:13:30.644978,2026-02-27 15:13:31.048668,0 days 00:00:00.403690,23,8,9,504,COMPLETE
20,-0.41025644108932474,2026-02-27 15:13:31.064876,2026-02-27 15:13:31.603299,0 days 00:00:00.538423,34,4,3,742,COMPLETE
21,-0.6664986061621834,2026-02-27 15:13:31.622983,2026-02-27 15:13:32.209711,0 days 00:00:00.586728,44,20,5,891,COMPLETE
22,-0.6664252777516712,2026-02-27 15:13:32.230674,2026-02-27 15:13:32.818883,0 days 00:00:00.588209,43,18,5,916,COMPLETE
23,-0.6665174601222599,2026-02-27 15:13:32.836003,2026-02-27 15:13:33.403715,0 days 00:00:00.567712,50,20,6,878,COMPLETE
24,-0.6657440454947845,2026-02-27 15:13:33.423199,2026-02-27 15:13:33.949922,0 days 00:00:00.526723,50,16,7,796,COMPLETE
25,-0.5382305205157851,2026-02-27 15:13:33.966611,2026-02-27 15:13:34.424356,0 days 00:00:00.457745,48,13,10,634,COMPLETE
26,-0.6665408917359563,2026-02-27 15:13:34.440851,2026-02-27 15:13:35.010133,0 days 00:00:00.569282,39,18,6,875,COMPLETE
27,-0.6664193429418285,2026-02-27 15:13:35.027392,2026-02-27 15:13:35.508517,0 days 00:00:00.481125,39,18,8,729,COMPLETE
28,-0.5391662131658685,2026-02-27 15:13:35.526177,2026-02-27 15:13:36.096379,0 days 00:00:00.570202,41,13,3,837,COMPLETE
