number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,-0.541815094795161,2026-02-27 15:27:56.413577,2026-02-27 15:28:02.129195,0 days 00:00:05.715618,40,13,17,8244,COMPLETE
1,-0.417981597945173,2026-02-27 15:28:02.150302,2026-02-27 15:28:08.318419,0 days 00:00:06.168117,15,7,6,9015,COMPLETE
2,-0.43048061512407687,2026-02-27 15:28:08.335741,2026-02-27 15:28:13.887153,0 days 00:00:05.551412,42,6,19,8096,COMPLETE
3,-0.4516689502367246,2026-02-27 15:28:13.911536,2026-02-27 15:28:15.954946,0 days 00:00:02.043410,11,11,17,2447,COMPLETE
4,-0.36987068292725517,2026-02-27 15:28:15.971604,2026-02-27 15:28:18.507548,0 days 00:00:02.535944,27,1,7,3182,COMPLETE
5,-0.42053478041189185,2026-02-27 15:28:18.532392,2026-02-27 15:28:19.782369,0 days 00:00:01.249977,21,4,16,1189,COMPLETE
6,-0.39077304257576395,2026-02-27 15:28:19.799535,2026-02-27 15:28:21.029054,0 days 00:00:01.229519,31,1,11,1230,COMPLETE
7,-0.5385964048039655,2026-02-27 15:28:21.046303,2026-02-27 15:28:21.479389,0 days 00:00:00.433086,9,13,6,611,COMPLETE
8,-0.6284886385313068,2026-02-27 15:28:21.495575,2026-02-27 15:28:23.406482,0 days 00:00:01.910907,23,14,17,3242,COMPLETE
9,-0.4151339194192505,2026-02-27 15:28:23.422325,2026-02-27 15:28:25.967325,0 days 00:00:02.545000,9,3,15,3954,COMPLETE
10,-0.667565094802583,2026-02-27 15:28:25.983648,2026-02-27 15:28:29.439509,0 days 00:00:03.455861,49,20,2,5901,COMPLETE
11,-0.3989225233741284,2026-02-27 15:28:29.462841,2026-02-27 15:28:32.898456,0 days 00:00:03.435615,31,2,11,5343,COMPLETE
12,-0.39139092791572233,2026-02-27 15:28:32.922104,2026-02-27 15:28:34.145826,0 days 00:00:01.223722,32,1,11,1830,COMPLETE
13,-0.41824077723991077,2026-02-27 15:28:34.162155,2026-02-27 15:28:34.359215,0 days 00:00:00.197060,35,7,10,209,COMPLETE
14,-0.3734116916114493,2026-02-27 15:28:34.375663,2026-02-27 15:28:36.774905,0 days 00:00:02.399242,24,1,8,3692,COMPLETE
15,-0.4130193265479578,2026-02-27 15:28:36.791083,2026-02-27 15:28:40.870469,0 days 00:00:04.079386,24,5,7,6455,COMPLETE
16,-0.43685387886143373,2026-02-27 15:28:40.894059,2026-02-27 15:28:43.415359,0 days 00:00:02.521300,18,9,2,3949,COMPLETE
17,-0.6672179820147661,2026-02-27 15:28:43.441357,2026-02-27 15:28:45.907828,0 days 00:00:02.466471,24,18,8,4335,COMPLETE
18,-0.40871551254997407,2026-02-27 15:28:45.933532,2026-02-27 15:28:47.635919,0 days 00:00:01.702387,16,4,4,2572,COMPLETE
19,-0.4368133488052752,2026-02-27 15:28:47.652218,2026-02-27 15:28:51.926335,0 days 00:00:04.274117,38,9,14,6748,COMPLETE
20,-0.3786432332862755,2026-02-27 15:28:51.945180,2026-02-27 15:28:55.085569,0 days 00:00:03.140389,27,1,9,4826,COMPLETE
