number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_n_units,params_optimizer,state
0,0.4765496701002121,2026-02-27 13:03:03.331846,2026-02-27 13:03:20.589970,0 days 00:00:17.258124,leaky_relu,4,0.1,0.0003595605822121722,3,16,rmsprop,COMPLETE
1,0.5261878192424774,2026-02-27 13:03:20.612441,2026-02-27 13:04:05.261781,0 days 00:00:44.649340,relu,16,0.1,0.00012168042475956952,3,12,rmsprop,COMPLETE
2,0.5029222369194031,2026-02-27 13:04:05.282461,2026-02-27 13:04:36.357558,0 days 00:00:31.075097,swish,16,0.1,0.0002052656279640211,2,12,rmsprop,COMPLETE
3,0.5578873515129089,2026-02-27 13:04:36.382515,2026-02-27 13:05:09.338311,0 days 00:00:32.955796,relu,4,0.2,0.0005549015648260772,2,4,rmsprop,COMPLETE
4,0.4026989996433258,2026-02-27 13:05:09.352118,2026-02-27 13:05:28.414961,0 days 00:00:19.062843,relu,16,0.2,0.00637094398626783,1,4,rmsprop,COMPLETE
5,0.8643095970153809,2026-02-27 13:05:28.435595,2026-02-27 13:06:04.679095,0 days 00:00:36.243500,leaky_relu,16,0.1,1.9836480844976484e-05,1,16,rmsprop,COMPLETE
6,0.4412835776805878,2026-02-27 13:06:04.692624,2026-02-27 13:06:20.218647,0 days 00:00:15.526023,swish,4,0.3,0.0016798996058710733,1,12,rmsprop,COMPLETE
7,0.43530391752719877,2026-02-27 13:06:20.232317,2026-02-27 13:06:45.939424,0 days 00:00:25.707107,leaky_relu,16,0.0,0.00018179800407395897,3,16,rmsprop,COMPLETE
8,1.1786499321460724,2026-02-27 13:06:45.953355,2026-02-27 13:07:31.034830,0 days 00:00:45.081475,swish,16,0.0,1.704076767899188e-05,2,8,adam,COMPLETE
9,0.8365790843963623,2026-02-27 13:07:31.058711,2026-02-27 13:07:58.461422,0 days 00:00:27.402711,relu,16,0.2,0.0050392270219009475,3,4,sgd,COMPLETE
10,0.4535571277141571,2026-02-27 13:07:58.478805,2026-02-27 13:08:13.457678,0 days 00:00:14.978873,relu,8,0.3,0.009367189922336386,1,8,adam,COMPLETE
11,0.9413409352302551,2026-02-27 13:08:13.474691,2026-02-27 13:08:52.481234,0 days 00:00:39.006543,leaky_relu,8,0.0,5.656416789188665e-05,2,4,sgd,COMPLETE
12,0.43213711977005004,2026-02-27 13:08:52.502736,2026-02-27 13:09:17.386580,0 days 00:00:24.883844,leaky_relu,16,0.2,0.001451448557852946,3,8,rmsprop,COMPLETE
13,0.44690311551094053,2026-02-27 13:09:17.407414,2026-02-27 13:09:34.601169,0 days 00:00:17.193755,leaky_relu,16,0.2,0.0023920625291368636,1,8,rmsprop,COMPLETE
14,0.7512793421745301,2026-02-27 13:09:34.614920,2026-02-27 13:10:09.057350,0 days 00:00:34.442430,relu,16,0.3,0.001092935964024744,2,4,sgd,COMPLETE
15,0.4342832863330841,2026-02-27 13:10:09.089069,2026-02-27 13:10:28.298553,0 days 00:00:19.209484,relu,8,0.2,0.0043495402894723366,3,8,adam,COMPLETE
16,0.4509175181388855,2026-02-27 13:10:28.327711,2026-02-27 13:10:45.335779,0 days 00:00:17.008068,leaky_relu,16,0.2,0.0009918310281928802,1,4,rmsprop,COMPLETE
17,0.4783119559288025,2026-02-27 13:10:45.349999,2026-02-27 13:10:59.104735,0 days 00:00:13.754736,relu,16,0.3,0.008387383168402231,2,8,rmsprop,COMPLETE
18,0.5583787500858307,2026-02-27 13:10:59.131190,2026-02-27 13:11:18.349035,0 days 00:00:19.217845,leaky_relu,8,0.2,0.0027253830136789313,1,4,sgd,COMPLETE
19,0.33749638199806214,2026-02-27 13:11:18.366139,2026-02-27 13:11:51.905413,0 days 00:00:33.539274,swish,4,0.1,0.0006867742331547144,3,8,adam,COMPLETE
20,0.4790477991104126,2026-02-27 13:11:51.922767,2026-02-27 13:12:06.626391,0 days 00:00:14.703624,swish,4,0.1,0.0006328920872559496,2,12,adam,COMPLETE
21,0.4170175611972809,2026-02-27 13:12:06.650447,2026-02-27 13:12:28.176377,0 days 00:00:21.525930,swish,4,0.2,0.0014238241105419013,3,8,adam,COMPLETE
22,0.3370362162590027,2026-02-27 13:12:28.193318,2026-02-27 13:12:47.806380,0 days 00:00:19.613062,swish,4,0.1,0.004525759153890634,3,8,adam,COMPLETE
23,0.31630346477031707,2026-02-27 13:12:47.820123,2026-02-27 13:13:07.065471,0 days 00:00:19.245348,swish,4,0.1,0.004757756329297062,3,8,adam,COMPLETE
24,0.3313139617443085,2026-02-27 13:13:07.079043,2026-02-27 13:13:25.613270,0 days 00:00:18.534227,swish,4,0.1,0.003204817121235834,3,8,adam,COMPLETE
25,0.380140820145607,2026-02-27 13:13:25.635162,2026-02-27 13:13:39.908466,0 days 00:00:14.273304,swish,4,0.0,0.0033479220448654284,3,12,adam,COMPLETE
