Molecule,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Number e-,SHAP_Molecular Volume
FC__C_C_F__F_F_F_F,0.08381719808205111,0.022106218990736223,-0.2978013113729535,-0.374978411922681,0.2685440748475423,-0.25788973159241635,-0.045853419325855155
FC_Cl_Cl,0.08446758288437521,0.06639728269854922,-0.09786715716350984,-0.21019959466314375,0.017184385693797776,0.18294408403783624,-0.22580026531018543
FC1_C_F_C_C_C1_F_F__F_F__F_F,0.36506216902993993,0.03328246871139931,-0.13941191647975748,-0.5199626165632366,0.5994209480435544,-0.5215660325301374,0.4184094433137174
FC_SC_F__F_F__F_F,0.20794778321134733,-0.030339367661412417,-0.20692215036866096,-0.3492151947353805,0.3758122224481848,-0.2990891536139352,0.12089732461962438
FC__N____O__O-___F_F,-0.03929135378645002,0.10178874014731566,-0.0952706097062439,-0.2882447657906549,0.08175874320463233,0.018146395951760538,-0.2963394289360429
CC_Cl_Cl,0.25393927994712695,0.24438940787947988,-0.22250143511225365,-0.3005597347100977,-0.00389567316304496,0.2529831014744184,-0.0038658219295113878
FC1_C_F_C_C1_F_F__F_F,0.17765843384596514,0.10841170294474566,-0.1446050113942887,-0.41887409868462105,0.3325847599822544,-0.2826093848053276,0.0657136251844298
FC__C_F_F_Cl,0.06263323594920715,-0.0939819007929661,-0.5169499167661619,-0.2654280749092336,0.08976382884647131,0.018146395951760538,-0.2128440923993135
_C-___O__,-0.3399549566894458,-0.18840051417382725,0.6759039851016106,-0.17385910355730372,-0.3824828567844173,0.4013010207518865,-0.869170221986161
FC_F__F_F,-0.25586949296039413,-0.20286754853446337,0.7512038613623103,-0.2396648577219331,-0.06233279834846966,0.005786569345304849,-0.6024889962373836
CH2Cl2,0.07229609586945179,0.14628677144254834,-0.16018429613788157,-0.20831079574911887,-0.07871654029543344,0.2859426390916336,-0.27258644526611125
N_CC_F__F_F,-0.07766405712357531,0.05811857920176173,0.5201111376656803,-0.29058687644404596,-0.024868997544663176,0.059345817973279494,-0.35776128569869453
FC_C_Cl__F_F__Cl_Cl,0.44041389398492437,0.00658364993425972,0.029363668242499925,-0.2962532731861208,0.4681375435173947,-0.12193163892140382,0.3908175935961199
CC_N,-0.10655972476969143,0.6361790508649472,0.08908425975960663,-0.285524895354459,-0.3128919789380303,0.3683414831346714,-0.5254717461560903
_H__H_,-0.4435333820652987,-0.20286754853446337,0.9822965850589398,-0.12885280303391708,-0.521205654233726,0.4507403271777093,-1.107299881505425
