Molecule,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Molecular Volume
FC__C_C_F__F_F_F_F,-0.07738256681224329,0.03660361480999616,-0.05867407947265074,0.09074702404433159,0.11151229270017417,-0.03749156026703251
FC_Cl_Cl,-0.04598748024275013,0.04528739967001825,0.02729051284200399,-0.04423328003708526,0.004157042056420113,-0.04584501670116243
FC1_C_F_C_C_C1_F_F__F_F__F_F,0.34961031209826454,0.040451424537626714,0.02531877885399732,0.10844841214412859,0.19117875054342678,0.34091998666627304
FC_SC_F__F_F__F_F,0.15540886107861218,-0.0030224586163928144,-0.030646696714279806,0.08413593234171557,0.1839614896709449,0.07778076512970683
FC__N____O__O-___F_F,-0.05594136862259973,0.0649901720330063,0.027072008768720738,0.11624193837791519,0.042300984208949094,-0.03043248928049392
CC_Cl_Cl,0.16829992760618917,-0.0021000993728386153,-0.067651518199118,0.09906057374289386,-0.03489557614395479,-0.04189141102808205
FC1_C_F_C_C1_F_F__F_F,0.18496668862300258,0.05315023084214532,0.02628393901657908,0.12125841940367092,0.18602383196458802,0.10411350556637657
FC__C_F_F_Cl,-0.07476769781958792,-0.021696253231383383,-0.09818016526268866,-0.026661650402578427,-0.00962408094857701,-0.06458609496236846
_C-___O__,-0.26173950009808933,-0.03787602391693102,0.02891400053881347,-0.0546936495089869,-0.16438243101785294,-0.1664193828919908
FC_F__F_F,-0.2456061982660813,-0.056990367901483936,0.038045357427959496,-0.06427544778236767,-0.04267543476060683,-0.1474149451429528
CH2Cl2,-0.0765321582431349,0.031712760228608174,-0.03517816384848872,-0.053818376076174464,-0.10103204453035546,-0.049968341955189614
N_CC_F__F_F,-0.025969560027864304,0.07152150755812207,0.09758827955617314,0.12923927661767382,0.03919043139868947,-0.017228277895078116
FC_C_Cl__F_F__Cl_Cl,0.3930884540830842,0.030888969422941323,0.0332904318120012,0.11358078132841493,0.20117010237428992,0.373977030249791
CC_N,-0.0918694002678069,0.024953098444261915,0.029460303234818817,0.01948522882462045,-0.15482094547075984,-0.09666809283448091
_H__H_,-0.2693617142911802,-0.048562808285851446,0.0224146682225616,-0.11079088297314404,-0.18099985485791395,-0.18051955021462018
FCF,-0.26645031251215057,0.012822982599331024,0.03002392280749397,-0.07861663879909257,-0.19542694738117888,-0.17805778434310912
C,-0.25354436939097263,-0.033533792163525165,0.02387948259254484,-0.06104218543900327,-0.15298443089127176,-0.167732397412324
FC_C_F__F_F__Cl_F,0.024095791695457745,-0.0021140564896864234,0.04270500695479259,0.06615063572229146,0.15077468366341634,-0.0194559373072861
N_CC_C_F__F_F__F_F,0.23359239577527788,0.06925278279955906,0.05725650464261295,0.15291622200771368,0.13959950558614942,0.11993186170959491
_N-___N___O,-0.23543473221627578,-0.03617539060676095,0.027277769030154504,-0.03502996626484797,-0.16545249125040842,-0.1631518587981183
CC_F__F_F,-0.09468311213623043,0.02834624867926062,0.05384170761091671,0.08444693285149218,-0.0823318107387809,-0.1078466714570478
FC_C_CC_F__F_F__F_F,0.15903560131193675,-0.04614485844209336,0.039849203284585744,0.10036200749346036,0.1693655353578841,0.17408343453154748
FC_Cl_F,-0.08918830915991505,0.0566843741227355,0.04214193770576115,-0.07502799509179206,-0.020173461970149697,-0.1066391046820748
FC_C_Cl__F_F__Cl_F,0.16176135234268257,-0.0020314884089481975,0.03480791542936875,0.08012272912770285,0.176280833307392,0.20838432118808797
FC_C_F__F_F__Cl_Cl,0.15825932349480448,-0.012731742333458246,0.026127371840466925,0.0813237932721234,0.17480228955974017,0.17700433203342048
CBr,-0.07196491118524834,0.0025598127156076277,-0.09391639766332671,-0.08267247375893304,-0.05473140871988077,-0.11757871797268335
O_S_O,-0.061189555939421825,0.07078650176220488,0.04727334334183869,-0.026134274892078976,-0.12179287573707563,-0.11384923697732383
FS_C_F__F_F__F__F__F_F,0.16783039762898563,0.0009395183595171997,0.05424029321490415,0.08579568214047421,0.18267370021360751,0.09194471965910374
O_C_S,-0.0475977165903074,0.018263189828182712,0.014529649433334837,-0.017363090925815994,-0.1211260521453632,-0.08222501788298102
N_N,-0.259315748797224,-0.04502561325815207,0.027591035456687743,-0.06847226496781925,-0.16549173041303095,-0.16648978492375355
O_O,-0.23016849632228323,-0.0392047790867581,-0.007873696292982346,-0.10523593643220769,-0.169823216929184,-0.15967973810858213
FC_Cl__Cl_F,-0.04207281326716681,-0.013971268898454453,0.03326783673754258,-0.04124029582387046,0.02201743634622611,-0.040514051631277255
ClC_Cl_Cl,0.2427561202012383,0.04932752512965571,0.04663907498043292,0.007204291754942711,0.0308198918097478,0.015849835366577074
FC_Br__F_F,-0.10956634410283485,-0.03581230102476236,0.010540361306709439,-0.06511687592516026,0.07994739764152489,-0.0644277966613541
ClC_Cl__Cl_Cl,0.40046589310974184,-0.030834952614395537,0.03424588778274107,-0.006477437195336367,0.21291764973615418,0.39300614564279857
CC_Cl__Cl_Cl,0.36932312859956123,0.025722348743540166,-0.060913391910053176,0.14831102335191967,0.0008983743644531201,0.4167983373025829
CCl,-0.148315500347669,0.007930947188155835,-0.001385008660833776,-0.08667107102774571,-0.19851104640187703,-0.14973545314089595
FC_Cl__F_F,-0.11020572199506935,-0.0605397103148597,0.03492114920986823,-0.0742960059409644,-0.014318130775857444,-0.1035901634046635
ClP_Cl_Cl,0.2286598377935659,-0.0004915607848851585,-0.14952065718496038,-0.17241673834041155,-0.03235105058697203,0.028107064160937775
SF6,-0.09270197200162011,-0.0556216497611488,0.06343684414804658,-0.05150560870532408,0.09951980167364578,-0.03486253040881087
FS__O___O_C_F__F_F,-0.06624918869984074,0.05752897383643746,0.046104751238543566,0.07729111014319112,0.15477905861481991,-0.04118362887682802
FC_Br__Cl_F,0.19546419169755597,-0.004580847805215213,0.014920954914305631,-0.018184006518339898,0.20816741290435717,-0.009834243217630208
FC_F_F,-0.28196951471575693,0.020215591488210255,0.0412023430819996,-0.07750621803888266,-0.1586662857927144,-0.18098151915976743
FC_Cl__Cl_Cl,0.23474920465756383,-0.04547757985998093,0.04715642134661131,-0.015501646719566978,0.0077398042005609674,0.08561044481150872
O_C_O,-0.2756308891021152,-0.035301779817680845,0.030272587606919605,-0.06374274970206538,-0.16748146194268324,-0.17512685140310283
C_C,-0.19145105715297667,-0.03254822575416072,0.00702841404136147,-0.06270349554361404,-0.15655586110114256,-0.16504673249172247
FC_C_F__F_F__F_F,-0.08697427496028919,-0.06836710829483582,0.02686091842342464,0.06054898927146321,0.0041814369251869585,-0.08408351827342093
FS__O_F,-0.045865232083299165,0.1073182782395676,0.08406291208319443,0.027264888823060017,0.021038094538009238,-0.07954745259011631
C_CC_F__F_F,-0.09308770307067323,0.00470500392824607,-0.0353036513552611,0.08157601089476957,-0.01881556547720614,-0.08884965987705552
Cl2,-0.13302619658603446,-0.05897064225204908,1.6131712142549583e-05,-0.10984381138638946,-0.15079244180815227,-0.13294335337263205
SeF6,-0.09581071350246403,-0.04366798626332844,0.05754112544381932,-0.039525137778493036,0.2032968084574789,-0.049567560395814066
FC__C_F_F_C__C_F_F_F,0.15585251470111813,-0.03617927575600063,-0.10548702408755993,0.12215110905355715,0.18382018422321472,0.07859339476526715
F_C__C__C_F__F_F__F__C_F__F_F,0.17139710765631874,-0.030648871345575736,-0.017403549175487264,0.10436722297815955,0.17707529024714144,0.31360976589680356
ClSSCl,0.17004799943135165,0.01839871534004578,-0.19533095009365176,-0.22993122941071556,-0.05667492055798921,0.01629350158443026
