Molecule,SHAP_Vibrational ZPE,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Molecular Volume
FC__C_C_F__F_F_F_F,-0.0026892292610363497,-0.16258445380495015,0.027722193001797634,-0.046468917513635966,0.04582238235615792,0.05222736318015339,0.06978878796591323
FC_Cl_Cl,-0.006899210439205183,-0.16986955572073983,0.04746510486425943,0.0031588737627714137,-0.03617343178161372,0.010518995330693727,-0.0018885834319729965
FC1_C_F_C_C_C1_F_F__F_F__F_F,0.017451084271113474,0.41507545287642683,0.03267298563578979,0.015972043298042655,0.03871128319028681,0.07222293666914079,0.3603915268581013
FC_SC_F__F_F__F_F,-0.008472777065494933,0.20467478649064985,-0.0035420732895695604,-0.030864660235745526,0.0267920941448544,0.061944374540693486,0.10275186477725949
FC__N____O__O-___F_F,0.00464354012059214,-0.15966271562273143,0.07927561037250903,0.009515873590595842,0.05916859351596253,0.037417843949457914,0.043777200656356596
CC_Cl_Cl,0.020890994342104258,0.2573254014792677,0.04122645777247341,-0.04063750834678417,0.04351960733902268,0.04119893988259048,0.09550628587549811
FC1_C_F_C_C1_F_F__F_F,0.013699335550391418,0.23556987088807677,0.05718753227271637,0.011017567927833974,0.053781465402774065,0.065325343993139,0.13081042852532718
FC__C_F_F_Cl,-0.012672979798491038,-0.2081148764365102,-0.04392491491492962,-0.060506398439833665,-0.02196391617252299,0.0009308425672275644,-0.027506764303299593
_C-___O__,0.01268685350875962,-0.21988310034660213,-0.021574280837244282,-0.007189866320140025,-0.03197009692590066,-0.1332223488775388,-0.3295621061992899
FC_F__F_F,-0.02527250907385609,-0.19636910836597957,-0.025200994540741074,-0.01092714429767191,-0.02362946707279304,0.10958808611528945,-0.2910377474682242
CH2Cl2,-0.018553441576360675,-0.19518392707127263,0.02858738436060686,-0.04787853065429553,-0.04342233385189312,0.009973593505558619,-0.0038228728380889027
N_CC_F__F_F,0.025299185301188683,-0.10349159514081878,0.06626220660055986,0.04519099812521398,0.0723586040233183,0.05740789265107924,0.08633412195026828
FC_C_Cl__F_F__Cl_Cl,0.012338118574481733,0.44605902327258673,0.025595113994131204,0.034907492025794046,0.04133273838675962,0.08043903391578296,0.3920538392705446
CC_N,-0.007227267879099036,0.006045509841134551,0.020606736999515606,0.04623064177055393,0.022740797182443862,-0.1569610269870866,-0.24432245538587385
_H__H_,-0.006437320841345863,-0.2531854516716966,-0.0240475700749027,-0.014915350143297515,-0.04617440422879766,-0.1497782911831559,-0.3648206606305301
FCF,-0.019709593444805554,-0.24318489396185547,0.007140987725472772,-0.0001585163153728719,-0.02567626730033511,-0.15997282587129924,-0.36510265532115227
C,-0.0016311567688702061,-0.2265883984666329,-0.018051863483134194,-0.004590440832315085,-0.017955249776447645,-0.13917135586338755,-0.34137780677973023
FC_C_F__F_F__Cl_F,-0.007005310114502339,0.03602479018471195,-0.025867932089475278,0.010924637203094504,0.031531228736912977,0.05012998359827509,0.06612943338938052
N_CC_C_F__F_F__F_F,0.02603639307685297,0.26649892678799636,0.06319917220679062,0.05006402394591487,0.06436133006006432,0.09663657125345063,0.15624882653783753
_N-___N___O,-0.013073671037389012,-0.2075007576636668,-0.011990399619621865,-0.0009544064922324278,-0.02195876649185807,-0.13192516371721952,-0.33441589819813566
CC_F__F_F,0.01907406270858429,0.08578351567787373,0.050306665164636055,0.043024664154506925,0.07959027253242833,0.0505835135796141,0.13711057605474478
FC_C_CC_F__F_F__F_F,0.011170726972514469,0.2307765060323756,-0.03538425493947247,0.05948907476087687,0.048246178336512444,0.06355218505046921,0.14980941851312632
FC_Cl_F,0.04285085361084519,0.19825112798910147,0.1192803170866967,0.11979175089928647,0.01289250394791414,0.2321929971779921,0.8382252762753986
FC_C_Cl__F_F__Cl_F,0.0005018517725355617,0.2141112195691198,-0.0022955889715922098,0.029634701394743484,0.031219279055544703,0.06034267300879544,0.2256264542372702
FC_C_F__F_F__Cl_Cl,0.00024125541025364516,0.21586110296539687,-0.019170937931569047,0.030664213806857545,0.030726561677393394,0.061876797020337646,0.22780961899371455
CBr,-0.025195303550536924,-0.14538913215513305,0.020929789138287386,-0.05700316478432603,-0.042021081833493706,0.03424687537382138,-0.00036093871185425365
O_S_O,0.038743084773718,-0.005652990980492801,0.022930156997627207,0.03149625685274784,-0.022748580015750735,-0.06971571548242829,-0.26183051589801976
FS_C_F__F_F__F__F__F_F,0.0002997927262131238,0.20637711515178755,0.0032074395641203857,0.01041942841131826,0.03434978759548897,0.059593227838202964,0.11435721844699963
O_C_S,0.0403369379130271,-0.08152325943510381,0.007044455219212463,0.009518568638231431,-0.012589258152415392,-0.06493015315390278,-0.14721840357333046
N_N,0.012927163072326473,-0.22294584026589645,-0.024125673325537746,-0.011784623200545062,-0.030945039681743877,-0.13462970374363842,-0.33264018355316005
O_O,0.01610154988248424,-0.20600325904255914,-0.019122341125192847,0.004444818744267483,-0.044752357358333696,-0.1427994281947625,-0.3150167015795403
FC_Cl__Cl_F,-0.011147049604551673,-0.161756135644122,-0.030450828293380087,0.018001195552000086,-0.028792763325288094,0.023165058365245093,-0.002211979543619638
ClC_Cl_Cl,-0.00930509165176751,0.26865046491164024,0.03131594989293904,0.005450853516621146,-0.012203653519452093,0.04966288952653615,0.09135598989632722
FC_Br__F_F,-0.023152930195887204,-0.2064781851186619,-0.04783638217124121,0.00410179086577321,-0.03884383419933954,0.02881917469486173,-0.017307037824178497
ClC_Cl__Cl_Cl,0.014646716599371846,0.460790926007727,-0.0232835653130423,0.021503372460241834,0.0005622404717508748,0.08783572288547492,0.3864866835073798
CC_Cl__Cl_Cl,0.020546866210144527,0.4538191694830266,0.042342782919034566,-0.02855477217728903,0.04569307196201156,0.05267580360752727,0.3934400806097247
CCl,-0.03221206166516096,-0.05034791469410522,-0.00033333431826168954,0.0010638831997503,-0.0399685762170492,-0.18475929865831225,-0.29392443757735626
