Molecule,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Number e-,SHAP_Molecular Volume
FC__C_C_F__F_F_F_F,-0.08809875212010747,0.019039487016101253,-0.05960907525769625,0.10767403642437418,0.03541495146347245,0.01484019632744389,0.04724256996679373
FC_Cl_Cl,-0.07131066769463483,0.03795224862997029,0.017028112129497713,-0.06224647656166453,-0.019709067681574297,-0.006457260319369594,0.03884842398701745
FC1_C_F_C_C_C1_F_F__F_F__F_F,0.2952790756847137,0.02353667666673641,0.023071199039320433,0.12581569605704118,0.08967316668032026,0.007415362848640873,0.4344064892427731
FC_SC_F__F_F__F_F,0.11180643447009873,-0.0075577263808301294,-0.011948866931730964,0.08468593804934943,0.07507802697696456,0.012939776935100025,0.14337373432333575
FC__N____O__O-___F_F,-0.08966022570571687,0.06775140794577583,0.013314843393624834,0.09897539518451953,-0.003380680884817091,0.025952387152355,0.049401076126859095
CC_Cl_Cl,0.09568128121109956,0.04379538501547397,-0.06077658828508005,0.08692636155923823,-0.025829434732989903,-0.0377852140605283,0.00839730880092261
FC1_C_F_C_C1_F_F__F_F,0.1287989108440957,0.041332327030447376,0.027445271419775447,0.14458309127067132,0.07933132014898349,0.013583466912441442,0.1731213180111108
FC__C_F_F_Cl,-0.08756998796689135,-0.054283902631503136,-0.09924960826366944,-0.057560889841611694,-0.029828496150350752,0.011844589142182383,-0.0006280861544987113
_C-___O__,-0.19823781096659313,-0.07605896949056866,0.01739439041707695,-0.08278089995631129,-0.06702323676871694,-0.027885832375851436,-0.2765226358715724
FC_F__F_F,-0.1972960294836416,-0.0878704276732315,0.01939815659331493,-0.08006831347481426,-0.03806655827533863,0.01784332281834889,-0.27004121506623785
CH2Cl2,-0.07325362120762062,0.059701607338590805,0.010966445968930394,-0.049863337616287216,-0.016897013858203067,-0.04090653827837071,0.05279446398184856
N_CC_F__F_F,-0.06856283565389537,0.058697234291626675,0.056462275442734154,0.12377678507578975,0.010821583381117765,0.036582950164918436,0.07326881189303809
FC_C_Cl__F_F__Cl_Cl,0.34623968795942855,0.015717357480733392,0.026313405859379684,0.11331251702514308,0.09855701039201534,0.02524654117586853,0.4772576430765479
CC_N,-0.08724086008182977,0.15040014774477625,0.011695382957958292,0.0017717685490322521,-0.050626231279901325,-0.03704629482587682,-0.22902051265827272
_H__H_,-0.20440278323327243,-0.08816908846664565,0.012259451803066049,-0.14301883221982956,-0.07761061729004688,-0.03625650454905982,-0.29514456450943405
FCF,-0.181412712500168,0.16570060265051276,0.04421124679223023,-0.08693006013280259,-0.05556210979985228,-0.0065882354400098085,-0.2445694298122429
C,-0.19777022951665835,-0.0769798825636267,0.020572485616984028,-0.07386054461717212,-0.06337239088163986,-0.023361638541398784,-0.278143434277878
FC_C_F__F_F__Cl_F,0.024524310722573682,-0.022773166850636628,0.02375509838565582,0.0663193417877344,0.061861312779230425,0.009276943804431389,0.03325683663169487
N_CC_C_F__F_F__F_F,0.17520056740354353,0.054494409403216267,0.05215683686614581,0.1743946422535237,0.07915605875104897,0.02729918015745044,0.20868975943536752
_N-___N___O,-0.18930756164881044,-0.07142515041430973,0.024347087907631286,-0.0558066371414166,-0.06720828012151052,-0.02906965965751458,-0.2754246928118533
CC_F__F_F,-0.06616049250456381,0.1427842499292332,0.060739918755071336,0.12847334581634612,0.009549107248452279,0.040673818720532696,0.010004914622211248
FC_C_CC_F__F_F__F_F,0.13270172044962064,-0.053484505456706855,0.03419141890384099,0.1308241557905202,0.08515644714155819,0.011095051708370624,0.22187094656066317
FC_Cl_F,-0.11707353220873844,0.012838455561071339,-0.0003536658443566678,-0.1033839072824072,-0.03912779112117589,0.012099492561781444,-0.28282542837307
FC_C_Cl__F_F__Cl_F,0.12087523524347864,-0.009902413217429433,0.030985224292575782,0.0800712776594594,0.07661365674445848,0.019898993313947476,0.24456756918230374
FC_C_F__F_F__Cl_Cl,0.12600792416270845,-0.015494959748346339,0.031522359132584436,0.08639854566867065,0.07811353083165418,0.01991118094665177,0.21794701010434667
CBr,-0.08052778605217868,0.09610562323176843,-0.06044033246473324,-0.0834669434267585,-0.04148719487825712,-0.0439319467204189,-0.2449662496003239
O_S_O,-0.05271912141943956,0.18795131392310388,0.034625457446453935,-0.0719098842509292,-0.051816968226263735,-0.03560668886843414,-0.20513409897355497
FS_C_F__F_F__F__F__F_F,0.1210699095723372,-0.003521471705953274,0.033427353229814105,0.09097894308033166,0.07744275241170887,0.013202426188962208,0.1572468092673028
O_C_S,-0.08164400347000765,-0.009726154284548328,0.008599579321651531,-0.026753485839659277,-0.0649043547942301,-0.034288698189828354,-0.26055080315062035
N_N,-0.19695052049117778,-0.08194592964532854,0.014429009270626202,-0.09248692907283229,-0.0674139964972128,-0.02793309528638635,-0.27714703860443174
O_O,-0.1870534778376602,-0.07466322935844116,0.00741483887486642,-0.13611788535330238,-0.07315815280852846,-0.03112706424565645,-0.2810318383380906
FC_Cl__Cl_F,-0.08027273390398758,-0.039919601991853626,0.023900813139463253,-0.06143383293658193,-0.016424704289024327,0.022838064394207033,0.026131372673036096
ClC_Cl_Cl,0.1835910911606422,0.0266195967629762,0.04524718408857601,-0.0017327929722337234,-0.0030214308691063696,-0.006164375735051005,0.09590491117098426
FC_Br__F_F,-0.12182132760410816,-0.0616445775386835,0.005482745316960211,-0.08805158455879522,0.026696578281438305,0.011469686006260917,0.003409144974989517
ClC_Cl__Cl_Cl,0.34066317818242653,-0.035989352348522165,0.03260636135170802,-0.011777623841959432,0.1293780255944099,0.027870140711785684,0.49655322075087605
CC_Cl__Cl_Cl,0.30776457962360904,0.060140132390346,-0.0502722264149149,0.1337769224849191,-0.024963247938091637,-0.006050238728516771,0.4782403992238147
CCl,-0.09271555323914968,0.14102058742752455,-0.011213541367594707,-0.08422160530388718,-0.05619773667981389,-0.03897101347355595,-0.22642938178273578
FC_Cl__F_F,-0.10690977393361002,-0.07569897911151235,0.03187141827059453,-0.0873957239434608,-0.022013725785358276,0.019359827887374392,-0.1609574884017341
ClP_Cl_Cl,0.18188887847631163,-0.012765621589871582,-0.1529442661566381,-0.201629523760174,-0.019284658213308156,-0.0287091746454269,0.08109007668608259
SF6,-0.11218500918720549,-0.07786039151690001,0.034102249811805804,-0.06936082783740342,0.05124801491653889,0.019266467972991898,0.03221541507794184
FS__O___O_C_F__F_F,0.01616068689632063,0.05649436054779249,0.04608937660016709,0.08319774492520557,0.07020759612357502,0.025279784285892375,0.05274531217644027
FC_Br__Cl_F,0.14932629870268338,-0.010339559865302467,0.021381801552995593,-0.02537160082466301,0.10638265772361469,0.025392125841888782,0.07537816680102218
FC_F_F,-0.2077002416108582,0.04214928237847339,0.02577946329485599,-0.09673205436908446,-0.06691633420218751,0.018603824250211,-0.2963474333608982
FC_Cl__Cl_Cl,0.19432439070867108,-0.030044260129371364,0.04582875649435612,-0.011218932175271142,0.049198083072509446,0.02659970775934203,0.17887582700048538
O_C_O,-0.21322165318493883,-0.08006268433657798,0.01383606986304641,-0.07456282900158014,-0.06864312925378692,-0.028252135833087697,-0.2869489077470861
C_C,-0.1594692451959255,-0.06746948294362902,0.007701308103583132,-0.07416955826799872,-0.06482234209261571,-0.025511692438346147,-0.275889099296579
FC_C_F__F_F__F_F,-0.13169535431625504,-0.10726173040262393,0.01808350376914502,0.07118522626064448,0.0004579127657937361,-0.0019462293510095186,-0.013133040485746981
FS__O_F,-0.049185834380116596,0.22201601213539654,0.06539318128339475,-0.006307517861462702,-0.0037665323920998512,0.03085474293379333,-0.18773539179387821
C_CC_F__F_F,-0.08321764880015244,0.10556018697750348,0.000985002792520037,0.13793585211969586,-0.0005144553520964165,0.03518692980633425,0.02120628324903302
Cl2,-0.10127655927268517,-0.08382967094813018,0.0051034175634457534,-0.13933366596205093,-0.07243244308429582,-0.03493772138069123,-0.25337130724750245
SeF6,-0.10238893703041153,-0.06952460641882756,0.03281999041877281,-0.059742805935207574,0.10617948885522686,0.024237345523152622,0.027006314736222285
FC__C_F_F_C__C_F_F_F,0.11786282204011951,-0.03871924977503117,-0.1191391802715955,0.13123293617390702,0.08760691309826367,0.016117795194355196,0.13693400969964195
F_C__C__C_F__F_F__F__C_F__F_F,0.1215743526108326,-0.032707602618414974,-0.0033315955281964208,0.1138058315129474,0.08150983547591001,0.00894590876967387,0.3990439036987798
ClSSCl,0.12834480259716158,0.003106039456058042,-0.19839014335330343,-0.2527650241839988,-0.058955417383650635,-0.03490159921868158,0.062472144205230694
