Molecule,SHAP_Vibrational ZPE,SHAP_Polarizability,SHAP_Dipole Moment,SHAP_Adiabatic IE,SHAP_Cohesive Energy,SHAP_Molecular Mass,SHAP_Number e-,SHAP_Molecular Volume
FC__C_C_F__F_F_F_F,0.022912071619179734,-0.06511482528782819,0.03161955053663168,-0.06981230101165545,0.0551600211024284,0.01908256990606841,0.050287331730386645,0.01062304537478941
FC_Cl_Cl,-0.01336324801276459,-0.06099820370380412,0.07198167204498587,0.022135247422626972,-0.024932694029672933,-0.01451555536712414,-0.012573981503280034,-0.008205367350060363
FC1_C_F_C_C_C1_F_F__F_F__F_F,0.03575560573131791,0.22803930664499725,0.04080538977615561,0.02791076358140884,0.06007917660231489,0.04188558366621728,0.049182434777951325,0.44894359489330754
FC_SC_F__F_F__F_F,0.018105099923918577,0.07797841538603015,-0.0021115230246463506,-0.008271790864421605,0.03625001800579864,0.036737909965999044,0.04771680856124762,0.1322035217853409
FC__N____O__O-___F_F,0.025888184564905235,-0.06174478223378653,0.10662070101774739,0.023744197212437042,0.028993721429982577,0.0006762022262588811,0.04322438454029797,0.013122061898774488
CC_Cl_Cl,0.01711806504190729,0.06220561448299729,0.07610774042555073,-0.060762413783526835,0.0317484738345861,-0.013970332552748429,-0.020989399574171154,-0.010132334260593425
FC1_C_F_C_C1_F_F__F_F,0.04293992819815154,0.08458047581275084,0.08367744678207223,0.03022381780652686,0.07657844653007122,0.037628114747832515,0.04398446052224484,0.16296852756890812
FC__C_F_F_Cl,-0.01653327242775948,-0.06730141489435151,-0.0672782508076775,-0.09432137837997596,-0.03439063404202789,-0.017847498431299093,0.0654907052571414,-0.029325367683268867
_C-___O__,-0.04699016823392571,-0.18273974078941285,-0.09383436317071142,0.0068754924874968575,-0.033542335726698125,-0.035742147456945796,-0.03864459291879818,-0.35373375049236094
FC_F__F_F,-0.03511123534018881,-0.18146079809371402,-0.09973902144437621,0.0017443816860336842,-0.018744619020766823,0.044379860876885155,0.06020274596593317,-0.3086704908413754
CH2Cl2,0.039739988105147034,-0.036646475260547665,0.10107440028618467,0.02545114061854046,0.01272341643827284,0.10401968926949516,0.08952262976656898,0.05323135806075189
N_CC_F__F_F,0.0696993623836793,-0.04352122843657842,0.08901618649343745,0.033602362761364336,0.04349653109672456,0.015218701744857203,0.03861109494192026,0.02248235309810525
FC_C_Cl__F_F__Cl_Cl,0.04816050493960664,0.2681802399759898,0.03455633194019228,0.03572692545821456,0.05267000284754042,0.047255419622455525,0.05120189247915948,0.47733944564403874
CC_N,0.026074455632346383,-0.05294906025566445,0.15789804424826445,0.030860361645120335,-0.0027128689009222502,-0.03418092495393501,-0.03591528649540629,-0.30879254329793354
_H__H_,-0.034882636091120425,-0.2015204535248597,-0.10734261521725126,0.001651605502140134,-0.0764429838776035,-0.04522871375016624,-0.0479281101567609,-0.3831915966163373
FCF,0.018281479710546944,-0.18027565097240233,0.1625472020905076,0.030448257941856776,-0.016630755188887403,-0.03121402869093027,0.004357716716003764,-0.3212275036896932
C,0.03226316832957786,-0.19735680591372898,-0.1018167205595973,0.007245816290915654,-0.004316389902528198,-0.037784527540779815,-0.04178650548826299,-0.3777498014591604
FC_C_F__F_F__Cl_F,0.009440142532125786,0.005792569189801628,-0.025771859439871533,0.024182373624486556,0.02522650317891006,0.02872173606371813,0.04814948933280979,0.016895985290314962
N_CC_C_F__F_F__F_F,0.059801418143562324,0.11213800899501664,0.0737742474259071,0.055353346505133606,0.09346821445524817,0.045649654653708335,0.047874754289278953,0.18900717870141626
_N-___N___O,-0.03124640688553341,-0.1763505907007761,-0.08939527583932244,0.01086382050887753,-0.018629953939359664,-0.036773694282469495,-0.04006171424015167,-0.3578350791281663
CC_F__F_F,0.04515668294128041,0.022950783157839664,0.1384104798734375,0.04309901224278457,0.05356292185348617,0.09821507025510358,0.035101313125144536,0.040760426606985235
FC_C_CC_F__F_F__F_F,0.037563026864990905,0.0921882088777035,-0.0688230510850822,0.04904946977179587,0.06841679837363415,0.04210143375684814,0.050082241020357535,0.22136022587485196
FC_Cl_F,0.10960468447501355,0.09148814455652654,0.1599316094961318,0.0857933882467647,0.04661988247143923,0.12844881777814557,0.047458870981257305,0.7302381932993518
FC_C_Cl__F_F__Cl_F,0.021791089197857716,0.07835488129833046,-0.00377808858178368,0.036778162934348275,0.03383960520868219,0.03782245752893832,0.04336796760475269,0.23941081814634163
FC_C_F__F_F__Cl_Cl,0.02447668674386314,0.08514704978262641,-0.01558989903848791,0.037466289106873406,0.036141806499018776,0.039425351797606485,0.04571473003016788,0.21288247618692624
CBr,0.029016298184238693,-0.021920384619896996,0.09637451433039164,-0.0742289011966875,-0.008824683340768478,-0.0038722303281098123,0.031107264169327787,-0.1291466059846607
O_S_O,-0.05034576157555679,-0.043079726903892786,0.19593625528604183,0.027468039721174294,-0.03649401105738762,-0.024983880686328244,-0.027862990515180236,-0.28701862973439835
FS_C_F__F_F__F__F__F_F,0.027871993771428502,0.08426958976243647,0.003271671894215687,0.024054170850144867,0.04023526227970628,0.04051458219939912,0.04701793279618596,0.14708577295388825
O_C_S,-0.03410824234018538,-0.0023124592258854937,0.003337454073006821,0.019642361830971424,0.006069945578383755,-0.026724406878106535,-0.03560553485469537,-0.2604358859748899
N_N,-0.04678341798609414,-0.18391311377238242,-0.09996265106878371,0.0040290700547984054,-0.03910045413725247,-0.03599707477566804,-0.0389910325618242,-0.35542779326558216
O_O,-0.053891352740629,-0.17947955781051897,-0.09213111772838292,0.01459466640905674,-0.07406661790536205,-0.04240173629567162,-0.046128009880628144,-0.36002897621136426
FC_Cl__Cl_F,-0.05133429966703472,-0.06467253173706931,-0.05708302026518002,0.0316125781115535,-0.02288929673141996,-0.009610974383100126,0.06338286900602641,-0.011542917633405573
ClC_Cl_Cl,-0.00809031887429247,0.13802691700308886,0.04544370796090276,0.05169322161601605,0.022765660098266027,-0.0026140014159015674,-0.001999612960290373,0.061875301954861364
FC_Br__F_F,-0.06137953093268657,-0.08740209892743155,-0.07992570026856544,0.015939833901347168,-0.025079200141654,0.01557254114029227,0.06420345017183013,-0.024603468575031016
ClC_Cl__Cl_Cl,-0.020623052257453575,0.27323477226438686,-0.04653841218360146,0.03890103798214767,0.016915057888833247,0.06913795125554337,0.07245837696019262,0.5062701842320954
CC_Cl__Cl_Cl,0.04821913309802256,0.24161232437906643,0.08344342660823828,-0.051065217038397864,0.06327553130098984,-0.0038081857901263168,-0.005243406061186701,0.4918590963548517
CCl,0.027728696066343025,-0.05462597437772677,0.14999774156928278,0.0030652608889801133,-0.00213329507473767,-0.036321857752469044,-0.038747749085737984,-0.31114065905846117
FC_Cl__F_F,-0.06714397442856922,-0.07533257652933419,-0.10026366589791137,0.013229601921702947,-0.03326993317638621,-0.0189989995978681,0.06445182095621302,-0.07789933099903691
ClP_Cl_Cl,-0.12771923349205513,0.1456862256562409,-0.02164499960600648,-0.15423320522025794,-0.11256661197076355,-0.007614428983231333,-0.02469597914780633,0.05682440894108734
SF6,-0.027236589867881144,-0.06993795792494868,-0.09917470056005549,0.015436067423051742,-0.02801939077881951,0.02882332182873976,0.06204372775344551,-0.00475001978527703
FS__O___O_C_F__F_F,0.027894453966194954,0.0036400621930441014,0.08559809200801904,0.047705006475740566,0.03283962645660664,0.033055451042515824,0.043084508024671564,0.0287309974736217
FC_Br__Cl_F,-0.03452374292067403,0.10655972917064958,-0.013214259530598715,0.0306729724806861,0.004644227276436172,0.056591797072848726,0.058503721245062944,0.05348504579822796
FC_F_F,0.02302221488525483,-0.2000922419856744,0.05851111137316568,0.008675434263176102,-0.01656198550487358,-0.036066290593988796,0.05066827826632005,-0.3684790278405589
FC_Cl__Cl_Cl,-0.03495350199264305,0.13805670921527163,-0.0350202551000236,0.051265668010173626,0.0182090589238993,0.04600778803217615,0.057743582481974726,0.15913203838019238
O_C_O,-0.03449745226630115,-0.1981110272494703,-0.10210856491299189,0.001748240546949171,-0.019627728453307826,-0.03824657112403344,-0.04146071501349408,-0.3694137975284181
C_C,0.02638674519729628,-0.15163978624710175,-0.09071311342623707,0.01677681028595517,0.0029038260018777054,-0.04072512005641147,-0.04540514823218492,-0.3680780136126033
FC_C_F__F_F__F_F,0.0016629027193482537,-0.09079984885720649,-0.11581720712967447,0.006594744423308104,0.026707770701617263,0.012063454975387789,0.05703841871337363,-0.030381348606384913
FS__O_F,-0.031023452510350612,-0.04363777924083964,0.19996060805554064,0.05085606948812563,0.010974718214978538,0.04787431322487419,0.04352646122592028,-0.23642232393616214
C_CC_F__F_F,0.027641264885952997,-0.059824302387479725,0.11518176819564466,0.010350317140122602,0.06349372831897829,0.007172420577088118,0.04215170195142994,-0.0021606471769056355
Cl2,-0.07360697268223608,-0.06642715196516347,-0.09953136229708505,0.018152823420420853,-0.07501146728060894,-0.036528456894193186,-0.0401616336251931,-0.3080616549184914
SeF6,-0.040309342714951,-0.07262875015294948,-0.08885210154472095,0.016690756871189587,-0.017109131932059662,0.05420761932421414,0.06466601871393154,-0.006665627502505534
FC__C_F_F_C__C_F_F_F,0.04261564730442805,0.0890909453297649,-0.047687623057717184,-0.10420321753806082,0.07270732441984376,0.044977590573742995,0.054510191205661564,0.13487951255309408
F_C__C__C_F__F_F__F__C_F__F_F,0.03269926448575537,0.07800331474860607,-0.043510996375163376,0.00041906672397465285,0.056379564312726234,0.04064650895725135,0.047965350972592656,0.40915260405409615
ClSSCl,-0.16073941792731736,0.112398846266707,0.012765024491477667,-0.19649667764317086,-0.14542391788346765,-0.04193606818360921,-0.030109644487718586,0.040346166927654435
